block,count
1053,17
1055,2
1058,6
1060,8
1073,2
1078,2
1079,1
1095,39
1096,58
1097,1
1098,50
1099A,61
1099B,98
1100,59
1101,102
1102,128
1103,73
1104,83
1106,11
1107,60
1108,87
1109,100
1110,61
1111,113
1112,48
1113,19
1114,45
1115,15
1116,44
1117,65
1118,110
1119,2
1120,59
1121,51
1122,29
1123,20
1124,18
1125,89
1126,87
1127,99
1128,22
1131,49
1132,50
1135,38
1136,2
1137,60
1138,117
1142A,39
1143,67
1144,76
1145,79
1146,59
1147,19
1148,20
1149A,34
1149B,22
1150,62
1151,93
1152,56
1154,16
1155,101
1156,64
1157,75
1158,97
1160,31
1161,41
1162,73
1163,74
1164A,98
1164B,44
1165B,26
1166,37
1167,37
1168,42
1169,79
1170,1
1171,1
1172,51
1174,77
1175,33
1177,53
1179B,33
1180,20
1181,52
1182,42
1183,81
1184,59
1185,1
1186,2
1187,1
1188,59
1189,53
1190,3
1191,34
1194,28
1197,5
1201,3
1202,6
1207,41
1208,62
1209,41
1212,3
1215,41
1222,60
1223,29
1226,15
1227,37
1228,57
1230,1
1231,1
1232,1
1233,2
1234,6
1235,1
1236,1
1237,50
1238,1
1242,35
1243,1
1245,2
1246,6
1248,2
1250,10
1251,1
1255,2
1255A,2
1256,2
1257,1
1261,1
1263A,2
1264,3
1265A,5
1265B,1
1266,2
1267,4
1268,15
1269,17
1271,13
1272,10
1273,5
1276,18
1277,59
1278,5
1280,6
1283,8
1284,13
1285,8
1286,21
1288,42
1290,10
1294,2
1295,7
1301,47
1302,1
1303A,13
1303B,1
1304,2
1304B,2
1306C,9
1306D,1
1308,2
1310,25
1316,1
1317,2
1318,2
1319,4
1320,3
1322,6
1324,11
1330,4
1331,15
1334,4
1335,14
1336,3
1337,1
1338,5
1339,9
1340,6
1341,3
1342,46
1343,47
1344,13
1345,41
1346,89
1347,14
1348,9
1349,3
1350,330
1351,16
1352,8
1356,14
1358,6
1359,224
1360,20
1361,6
1362,35
1364,37
1365,5
1366,3
1367,47
1368,12
1369,30
1370,1
1371,3
1372,1
1375,5
1377,10
1380,40
1381,10
1384,4
1385,1
1386,3
1391,2
1392,31
1393,1
1395,30
1404,448
1406,7
1407,13
1408,27
1409,25
1410,1
1412,22
1413,13
1414,38
1415,28
1416,33
1417,1
1418,1
1419,47
1421,18
1422,12
1423,33
1424,54
1425,19
1426,2
1427,1
1428,33
1429,9
1430,23
1431,10
1432,19
1433,31
1434,49
1435,50
1438,3
1439,6
1440,19
1441,4
1442,6
1443,5
1444,65
1445,68
1446,114
1447,126
1448,120
1449,134
1450,117
1451,80
1452,32
1453,36
1454,99
1455,72
1456,123
1457,87
1458,89
1459,98
1460,56
1462,3
1463,92
1464,93
1466,46
1467,91
1468,88
1469,59
1471,44
1473,95
1474,90
1476,14
1476A,14
1476B,97
1476F,74
1477,119
1478,91
1479,79
1480,52
1481,3
1482,43
1483,84
1484,84
1485,58
1486,72
1487,37
1488,50
1489,60
1490,12
1491,55
1492,28
1494,89
1495,1
1496,39
1497,16
1498,54
1499,65
1500,34
1501,32
1502,1
1503,65
1504,88
1505,59
1506,93
1507,2
1508,32
1509,32
1510,64
1511,32
1513,66
1515,8
1516,62
1517,124
1518,1
1519,68
1520,81
1521,78
1522,84
1523,58
1524,31
1524A,30
1525,37
1526,18
1528,36
1529,81
1530,18
1531,42
1532,18
1533,35
1534,54
1535,36
1536,91
1537,62
1538,46
1539,90
1540,92
1541,10
1542,84
1543,84
1544,55
1547,38
1548,55
1549,83
1550,1
1551,34
1552,1
1553,106
1554,73
1555,88
1556,68
1557,65
1558,68
1564,59
1565,58
1566,69
1567,35
1568,104
1569,34
1570,90
1572,39
1573,56
1574,73
1575,71
1576,96
1581,1
1582,1
1583,3
1584,4
1585,1
1586,136
1587,145
1588,133
1589,123
1590,103
1591,109
1592,68
1593,52
1594,71
1595,69
1596,17
1597,1
1600,1
1602,87
1603,87
1604,74
1605,21
1606,96
1607,93
1608,94
1609,90
1610,84
1611,90
1612,90
1613,56
1616,4
1619,1
1620,3
1621,75
1622,79
1623,86
1624,85
1625,81
1626,92
1627,89
1628,92
1629,76
1630,24
1631,15
1633,4
1634,1
1635,36
1636,31
1637,29
1638,18
1639,45
1640,84
1641,49
1642,95
1643,97
1644,57
1645,94
1646,94
1647,73
1649,43
1650,45
1651,48
1652,63
1653,81
1654,88
1655,86
1656,86
1657,90
1658,87
1659,89
1660,82
1661,74
1662,66
1666,68
1667,36
1668,49
1669,89
1670,103
1671,84
1672,98
1673,94
1674,97
1675,94
1676,96
1677,76
1678,117
1678A,12
1681,1
1684,2
1685,2
1686,57
1687,73
1688,100
1689,59
1690,103
1691,110
1692,53
1693,72
1694,67
1695,28
1695A,17
1699,3
1701,50
1702,2
1703,2
1705,79
1706,101
1707,107
1708,118
1708B,1
1709,115
1710,107
1711,114
1712,122
1713,152
1714,172
1715,82
1716,56
1716A,7
1716B,9
1716C,3
1717,7
1719,54
1721,65
1722,101
1723,66
1724,85
1725,85
1726,94
1727,90
1728,51
1729,94
1730,96
1731,94
1732,54
1733,39
1733A,38
1734,73
1735,47
1736,48
1737,82
1738,64
1739,74
1740,3
1741,95
1742,101
1743,92
1744,92
1745,102
1746,80
1747,90
1748,57
1749,54
1750,100
1751,100
1752,53
1753,106
1754,134
1755,104
1756,142
1757,99
1758,121
1761,159
1762,69
1763,89
1764,85
1765,122
1766,93
1767,100
1770,91
1771,90
1772,81
1773,78
1774,76
1775,57
1776,104
1779,79
1780,70
1781,68
1782,72
1783,53
1784,53
1785,96
1786,84
1787,62
1788,93
1789,93
1790,88
1791,44
1792,88
1793,89
1794,52
1797,1
1798,2
1799,4
1799A,357
1800,6
1801,99
1802,2
1804,1
1805,3
1806,4
1807,51
1808,13
1809,29
1810,36
1811,74
1812,3
1815,3
1816,2
1817,4
1818,164
1819,49
1820,43
1825,5
1826,4
1827,8
1828,76
1829,51
1830,68
1831,51
1832,25
1833,20
1834,52
1835,33
1836,83
1837,106
1838,89
1839,27
1840,46
1841,96
1842,94
1843A,94
1843B,188
1843C,94
1844,80
1845,74
1846,73
1847,22
1849,31
1849A,18
1850A,1
1851,23
1853,24
1854,89
1855,90
1856,44
1857,46
1858,62
1859,41
1860,85
1861,45
1862,41
1864,90
1865,90
1866,76
1867,85
1868,71
1869,88
1870,89
1871,84
1872,1
1873,26
1874,308
1874A,298
1875,17
1876,2
1876B,13
1877,107
1878,71
